City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
125,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
126,Todos Santos,MX,84.79,clear sky,23.45,-110.2167,Hotel California Todos Santos
132,Georgetown,MY,78.73,mist,5.4112,100.3354,Cititel Penang
133,Cocobeach,GA,80.53,light rain,1.0002,9.5823,Hotel Esperance
136,Carnarvon,AU,71.67,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
139,Saint-Louis,SN,85.64,broken clouds,16.3333,-15.0,
143,Koumac,NC,78.64,few clouds,-20.5667,164.2833,Le Monitel
151,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
152,Matara,LK,77.05,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
156,Carutapera,BR,79.95,scattered clouds,-1.195,-46.02,Lidera
163,Port Moresby,PG,87.22,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
165,Isangel,VU,82.51,broken clouds,-19.55,169.2667,Tanna Lodge
169,Bengkulu,ID,74.52,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
170,Airai,TL,76.06,overcast clouds,-8.9266,125.4092,Juvinal Martin
171,Darnah,LY,71.82,overcast clouds,32.767,22.6367,فندق الفردوس
172,Mae Chan,TH,73.78,overcast clouds,20.1467,99.8526,Kiang Dao Resort
175,Manokwari,ID,82.65,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
178,Bubaque,GW,82.33,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
185,Aitape,PG,86.22,overcast clouds,-3.1374,142.3475,
186,Kilindoni,TZ,77.79,few clouds,-7.9139,39.6668,Bustani B&B
187,Janauba,BR,74.68,overcast clouds,-15.8025,-43.3089,Ouro Norte Palace Hotel
189,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
191,Bandarbeyla,SO,77.05,clear sky,9.4942,50.8122,JABIR HOTEL
192,Caravelas,BR,77.38,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
193,Vanimo,PG,85.33,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
194,Kavaratti,IN,81.34,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
203,Kochi,IN,73.38,overcast clouds,9.9399,76.2602,Hotel Abad
205,Ambunti,PG,87.6,overcast clouds,-4.2365,142.8448,Ambunti Lodge
209,Denpasar,ID,82.06,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
216,Dickinson,US,83.16,few clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
217,Labuhan,ID,84.0,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
